day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E4.5	E45_Hypoblast	Hypoblast	6.43	1.28	1.6	1.2	1.8	3.4	2.6	3.4	3.2	2.2	4.1	1.8	2.4	2.2	0.5	0	2.4	3.3	0	1.3	0	0.3	1	0	0
E4.5	E45_Hypoblast	Hypoblast	5.08	0.04	3.2	3.8	2.7	4.1	3	3.3	3.7	3.7	3.3	2.2	1.9	1.7	1.8	2.1	0.9	4.5	0	2.5	1	2.3	1	0	0
E4.5	E45_Hypoblast	Hypoblast	4.05	0.55	2.6	2.4	2.9	3.5	3.9	3.1	3.6	2.8	3.7	1.9	1.6	1.9	2.8	0.2	0.2	4.1	0	3.1	0	2.8	1.1	0	0
E4.5	E45_Hypoblast	Hypoblast	5.23	0.24	3	2.4	1	2.3	2.8	2.6	3.1	3.1	4.1	2.1	3.2	2.4	1.7	2.8	1.3	4.6	0	0	0	2.4	2.3	0	0
E4.5	E45_Hypoblast	Hypoblast	5.28	1.09	3.3	2.8	2.2	4.2	2.4	3.4	3.7	2.7	4	2.6	2	2.2	2.7	0	1	4.1	0	3.1	1	2.4	0	0	0
E4.5	E45_Epiblast	Epiblast	16.77	-25.79	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	4.5	2.8	4	3.2	3.6	1.1	0	1.4
E4.5	E45_Hypoblast	Hypoblast	4.4	1.56	3.9	3.4	2.7	3.6	3.2	3.6	3.4	2	3.8	1.8	1.7	2.5	3.1	1	0.4	3.8	0	0.7	0	1.6	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.63	0.16	3.6	2.4	0	4.1	3.4	2.9	2.8	2.2	4.1	0.3	3	2.3	2.6	0.5	2.8	4.6	0	1	0	1.7	0	0	0
E4.5	E45_Epiblast	Epiblast	15.52	-24.23	0	0	0	0	0	0	0	0	2.1	0	0	0	0.7	0	0	4.9	1	3.3	2.1	2.6	1.9	0	3.1
E4.5	E45_Hypoblast	Hypoblast	6.25	0.49	3.6	3.7	4.4	3.7	3.1	3.6	3.7	3.6	3.6	2.6	3.1	2.5	3	0.7	0	4.6	0	0	0	2.6	0	1.1	0
E4.5	E45_Hypoblast	Hypoblast	5.38	1.38	3.1	3.4	0.7	3.7	2.6	2.2	3.5	3	4.2	1	3.1	1.8	2.1	1.9	1.9	3.9	0	2.5	0	1.6	1.8	0	0
E4.5	E45_Hypoblast	Hypoblast	5.36	-0.63	2.3	3.7	0	3.1	2.9	4.3	2.9	3.4	3.6	3.3	3.3	3	1.7	2.8	1.8	4	0.7	2.7	0	2.1	0.6	0	0
E4.5	E45_Hypoblast	Hypoblast	4.91	0.95	4	3	2.8	3.6	2.6	2.8	3.2	3.7	4.4	3.7	2.9	2.2	2.1	0	1.3	4.2	0	1.6	0	1.8	0	0.3	1
E4.5	E45_Hypoblast	Hypoblast	5.83	2.58	2.6	1.9	2.1	1.7	2.4	3.1	3.8	3.6	4.2	3.9	3.1	2.2	2	3.1	1.7	2.5	0	3.6	0	0	2.1	0	0
E4.5	E45_Hypoblast	Hypoblast	6.82	0.65	2.8	2.6	3.7	3.4	3.1	3.7	4.3	3.7	4	1	0.9	2.4	0.5	2.2	0.7	4.3	0	0.8	1	2.7	0.7	0	0
E4.5	E45_Epiblast	Epiblast	17.03	-25.17	0	0	0	1	0.1	0	0	2.2	3.4	0	0	0	0	0	0	4.9	2.5	3.8	3.5	2.8	4	2.1	1.7
E4.5	E45_Hypoblast	Hypoblast	5.03	1.06	2.5	2.8	0	3.1	5	2.7	3.5	0.7	4.2	0	3.1	0.2	1.2	2.2	0	2.5	0	1.3	0	0	0	0.1	0
E4.5	E45_Hypoblast	Hypoblast	6.4	2.16	2.3	3.5	1.3	3.8	3.3	1.9	3.7	3.7	4.3	1.5	1.7	3.3	2.5	1.6	0	0.2	0	2.7	0	0.1	0	0	0
E4.5	E45_Epiblast	Epiblast	16.74	-25.24	1.4	0	1.2	2.3	2.4	0.7	0.1	0.7	3.3	0	0	0	0	0	0	5.2	2.4	4.2	3.3	3.5	3.4	3	2.9
E4.5	E45_Epiblast	Epiblast	3.32	1.06	2.8	3.6	1.1	3.3	3.7	2.9	2.6	1.9	2.6	2.4	1.8	0.8	1.5	1.7	0	5	1.4	3.1	1.7	2.9	2.4	1.5	2
