day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.47	1.89	1.9	0	0	0	0	0	1.9	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2	2.5	0	0	0	0	2.4	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.97	-2.06	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.38	-0.12	2.7	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.94	1.62	1.8	0	0	0	1.8	0	1.8	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.94	-2.38	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.08	-1.15	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.78	1.27	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.04	-3.4	1.6	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.03	0.61	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.19	-1.79	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.27	0.48	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.62	-2.72	0	0	0	2.1	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.65	1.44	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.95	-0.98	3.8	2	0	2.6	3	0	2	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.08	-0.84	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.12	-1.99	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.21	-1.73	2.8	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.06	2.16	0	0	0	0	0	0	0	2.2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.11	-2.76	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.16	0.17	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.67	1.57	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.96	0.76	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.34	-0.89	0	0	0	2.6	2	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.06	-1.17	1.6	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.77	-0.54	3.3	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.47	2.75	0	0	0	0	1.8	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.97	-2.46	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.28	-3.03	2.4	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.44	-1.35	2	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.37	-3.55	1.8	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.11	1.49	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.45	1.68	1.7	0	0	0	2.3	0	1.7	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.33	-0.34	2.9	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.37	0.92	0	0	0	0	0	0	0	0
