day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.87	3.16	0	2	4.2	4.5	0	3.4	0	0	0	2	0	0	3.6	2	3.2	3	2	0	2.6	3	2	0	0	0	0	3.4	0	0	0	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.96	-5.33	3.8	2.3	5.3	4.1	0	2.3	2.9	0	0	0	0	0	0	0	3.3	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.86	0.05	0	2.3	4.9	3.3	0	2.3	0	0	0	0	0	0	2.3	2.9	3.8	2.3	2.3	3.3	2.3	2.3	0	0	0	2.3	2.3	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.35	2.23	0	0	5.6	4.4	1.9	3.5	0	0	0	0	0	0	0	1.9	3.2	3.5	3.2	3.2	0	0	0	0	2.5	1.9	0	0	0	0	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.05	-0.61	0	2.3	5.2	3.9	0	2.3	0	0	2.3	0	0	0	0	0	0	0	3	3	0	2.3	0	0	3	2.3	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.23	-4.51	2.5	1.9	3.7	3.5	0	0	0	2.5	0	0	0	0	2.5	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.35	-3.65	3.9	3.2	5.1	4.7	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.37	2.31	3.1	2.3	4.7	4.3	3.1	1.7	0	0	0	0	0	1.7	1.7	0	2.6	1.7	0	0	0	0	1.7	0	2.3	0	0	0	0	0	1.7	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.77	8	2.5	0	4.1	3.3	0	0	2.5	0	0	0	0	0	3.1	0	2.9	2.5	1.9	0	0	2.5	1.9	1.9	0	2.5	0	1.9	0	0	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.45	3.63	0	0	3.7	4.6	0	2.4	0	0	0	0	0	0	3.4	3.1	4.3	3.7	3.1	2.4	2.4	0	0	0	0	0	0	3.1	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.81	-0.09	1.6	0	4.9	3.5	1.6	1.6	3.3	0	0	1.6	0	0	2.2	1.6	2.2	2.2	1.6	0	0	0	0	0	2.8	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.77	2.05	0	0	4.1	3.4	2.4	0	2.4	0	0	2.4	0	0	2.4	4.1	0	2.4	0	0	0	3	0	0	0	2.4	0	0	0	0	2.4	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.57	-1.53	2.1	0	4.6	3.6	2.1	3.7	0	0	0	2.1	0	0	3.3	3.7	3.6	3.3	3.3	3.1	2.1	3.1	2.1	0	0	2.1	2.1	0	2.1	2.1	2.1	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.16	3.29	0	0	0	3.6	0	0	0	0	0	0	0	0	3.6	3.6	2.9	4.2	2.3	0	2.3	2.9	2.3	0	0	0	0	3.6	0	0	0	0
